Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
100,0,1.0,118.0,1.0,3.0,0.0,0.0,7.0,0.2691871396600741,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.08602493333709638,0.5427756862776824,NaN,NaN,5.0,1.2896537695672479,2.0,NaN,NaN,NaN,NaN,NaN,NaN,9.904236170090394,4.0,NaN,NaN
200,0,1.0,73.0,0.0,0.0,0.0,0.0,5.0,0.7025931999928055,1.0,NaN,NaN,NaN,NaN,0.4506609122859525,NaN,NaN,NaN,NaN,NaN,5.0,0.8346399015044358,1.0,NaN,NaN,NaN,NaN,NaN,NaN,7.284541285874765,3.0,NaN,NaN
200,1,1.0,73.0,1.0,0.0,0.0,0.0,3.0,0.628075347784676,1.0,NaN,NaN,0.47352886970568975,0.5881905213648677,NaN,NaN,NaN,NaN,NaN,NaN,3.0,1.1083311007424597,1.0,NaN,NaN,NaN,0.4530953639982217,NaN,NaN,NaN,2.0,NaN,25.49285489018632
200,2,1.0,96.0,1.0,2.0,0.0,0.0,3.0,0.25053355100937147,2.0,NaN,NaN,0.4984203180426007,0.6964030100238354,NaN,NaN,NaN,NaN,NaN,NaN,3.0,1.91650854872827,1.0,NaN,NaN,NaN,0.4642302654001428,NaN,NaN,NaN,2.0,NaN,21.682914314142344
300,0,1.0,73.0,1.0,0.0,0.0,0.0,3.0,0.628075347784676,1.0,NaN,NaN,0.47352886970568975,0.5881905213648677,NaN,NaN,NaN,NaN,NaN,NaN,3.0,1.1083311007424597,1.0,NaN,NaN,NaN,0.4530953639982217,NaN,NaN,NaN,2.0,NaN,25.49285489018632
300,1,1.0,73.0,1.0,0.0,0.0,0.0,3.0,0.6469174744739092,2.0,NaN,NaN,0.4807182772454429,0.5881905213648677,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.1083311007424597,1.0,0.8239066098309641,NaN,NaN,NaN,NaN,NaN,NaN,2.0,NaN,25.49285489018632
300,2,1.0,73.0,1.0,0.0,0.0,0.0,3.0,0.628075347784676,2.0,NaN,NaN,0.5029222627437766,0.5873739782355313,NaN,NaN,NaN,NaN,NaN,NaN,2.0,1.1114010731057355,1.0,NaN,NaN,64.92004474667957,NaN,NaN,NaN,NaN,2.0,NaN,21.814293088869224
300,3,1.0,117.0,1.0,3.0,2.0,0.0,7.0,0.7018517289963324,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.08602493333709638,0.5427756862776824,NaN,NaN,5.0,1.2948526274319914,2.0,NaN,NaN,NaN,NaN,NaN,NaN,9.904236170090394,4.0,NaN,NaN
400,0,1.0,118.0,1.0,4.0,0.0,0.0,7.0,0.7017761038091372,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.9748531422407866,0.3084657407640711,NaN,NaN,5.0,0.8172162643189316,2.0,NaN,NaN,NaN,NaN,NaN,NaN,9.904236170090394,3.0,NaN,NaN
400,1,1.0,182.0,1.0,3.0,0.0,0.0,7.0,0.8796479747344124,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.08602493333709638,0.554024749994068,NaN,NaN,5.0,1.2948526274319914,1.0,NaN,NaN,NaN,NaN,NaN,NaN,9.904236170090394,4.0,NaN,NaN
