Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
100,0,0.0,NaN,NaN,1.0,1.0,0.0,5.0,0.2467569163719907,1.0,NaN,NaN,NaN,NaN,0.44027450729507767,NaN,NaN,NaN,NaN,NaN,4.0,1.5667866746519346,2.0,NaN,NaN,NaN,NaN,1.5229679844331976,0.745427698723025,NaN,0.0,3.0,NaN
200,0,1.0,52.0,1.0,3.0,6.0,0.0,7.0,0.8203927170077968,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.9521129985015383,0.5763854444698787,NaN,NaN,5.0,1.506145282847422,2.0,NaN,NaN,NaN,NaN,NaN,NaN,8.457291802100588,2.0,NaN,77.43701099189178
300,0,1.0,52.0,1.0,3.0,6.0,0.0,7.0,0.8203927170077968,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.9521129985015383,0.5763854444698787,NaN,NaN,5.0,1.506145282847422,2.0,NaN,NaN,NaN,NaN,NaN,NaN,8.457291802100588,2.0,NaN,77.43701099189178
400,0,1.0,52.0,1.0,3.0,6.0,0.0,7.0,0.8203927170077968,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.9521129985015383,0.5763854444698787,NaN,NaN,5.0,1.506145282847422,2.0,NaN,NaN,NaN,NaN,NaN,NaN,8.457291802100588,2.0,NaN,77.43701099189178
400,1,1.0,149.0,1.0,2.0,4.0,0.0,1.0,0.940193332839012,2.0,NaN,0.7985937771244904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.6391881964164448,2.0,NaN,NaN,NaN,NaN,NaN,NaN,7.924177711440154,3.0,NaN,NaN
500,0,1.0,52.0,1.0,3.0,6.0,0.0,7.0,0.8203927170077968,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.9521129985015383,0.5763854444698787,NaN,NaN,5.0,1.506145282847422,2.0,NaN,NaN,NaN,NaN,NaN,NaN,8.457291802100588,2.0,NaN,77.43701099189178
500,1,1.0,149.0,1.0,2.0,4.0,0.0,1.0,0.940193332839012,2.0,NaN,0.7985937771244904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.6391881964164448,2.0,NaN,NaN,NaN,NaN,NaN,NaN,7.924177711440154,3.0,NaN,NaN
500,2,1.0,52.0,1.0,1.0,6.0,0.0,3.0,0.8203927170077968,2.0,NaN,NaN,0.07090539426710307,0.711577336746532,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.6413850213156356,2.0,NaN,NaN,NaN,NaN,NaN,NaN,8.567183485529979,2.0,NaN,77.43701099189178
500,3,1.0,149.0,1.0,2.0,4.0,0.0,1.0,0.949486625761439,2.0,NaN,0.7985937771244904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0,1.6391881964164448,2.0,NaN,NaN,NaN,NaN,NaN,NaN,7.824872368066516,3.0,NaN,NaN
600,0,1.0,52.0,1.0,3.0,6.0,0.0,7.0,0.8203927170077968,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.9521129985015383,0.5763854444698787,NaN,NaN,5.0,1.506145282847422,2.0,NaN,NaN,NaN,NaN,NaN,NaN,8.457291802100588,2.0,NaN,77.43701099189178
