Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
100,0,1.0,24.0,1.0,2.0,2.0,0.0,7.0,0.595879216770554,1.0,NaN,NaN,NaN,NaN,NaN,NaN,0.5542016278943137,0.5120457062492023,NaN,NaN,3.0,0.8065438310397226,1.0,NaN,NaN,NaN,0.7545734948673057,NaN,NaN,NaN,3.0,NaN,NaN
200,0,1.0,69.0,1.0,0.0,3.0,0.0,3.0,0.9827139418954698,1.0,NaN,NaN,0.522393693063836,0.49455076635007866,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.4808202815388778,2.0,NaN,261.6213603040404,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN
200,1,1.0,119.0,1.0,5.0,5.0,0.0,3.0,0.7007073896905678,2.0,NaN,NaN,0.7497461579354066,0.9620911140529801,NaN,NaN,NaN,NaN,NaN,NaN,3.0,1.9108543376919123,2.0,NaN,NaN,NaN,0.911517789435204,NaN,NaN,NaN,0.0,5.0,NaN
300,0,1.0,69.0,1.0,0.0,3.0,0.0,3.0,0.9827139418954698,1.0,NaN,NaN,0.522393693063836,0.49455076635007866,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.4808202815388778,2.0,NaN,261.6213603040404,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN
300,1,1.0,143.0,1.0,4.0,2.0,0.0,3.0,0.6020242109613086,0.0,NaN,NaN,0.9125960942642208,0.18997479609710294,NaN,NaN,NaN,NaN,NaN,NaN,4.0,0.9705016498259078,1.0,NaN,NaN,NaN,NaN,1.4283021076676752,0.7347088026026646,NaN,0.0,7.0,NaN
300,2,1.0,11.0,1.0,2.0,5.0,0.0,3.0,0.8069833938595719,1.0,NaN,NaN,0.6994871829320986,0.9578933131658052,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.7824771610256945,2.0,NaN,127.05278073307471,NaN,NaN,NaN,NaN,NaN,3.0,NaN,NaN
400,0,1.0,69.0,1.0,0.0,3.0,0.0,3.0,0.9827139418954698,1.0,NaN,NaN,0.522393693063836,0.49455076635007866,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.4808202815388778,2.0,NaN,261.6213603040404,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN
400,1,1.0,11.0,1.0,2.0,5.0,0.0,3.0,0.8069833938595719,1.0,NaN,NaN,0.6994871829320986,0.9578933131658052,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.7824771610256945,2.0,NaN,127.05278073307471,NaN,NaN,NaN,NaN,NaN,3.0,NaN,NaN
400,2,1.0,69.0,1.0,0.0,3.0,0.0,3.0,0.9827139418954698,1.0,NaN,NaN,0.522393693063836,0.49455076635007866,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0854613381352285,2.0,NaN,263.3828372333028,NaN,NaN,NaN,NaN,NaN,2.0,NaN,38.28281627154912
400,3,1.0,21.0,1.0,2.0,1.0,0.0,0.0,0.6861458418075884,1.0,125.68996383267918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.4034675316918626,2.0,NaN,NaN,NaN,NaN,1.5616570978733555,0.29728401255572057,NaN,3.0,NaN,NaN
400,4,1.0,12.0,1.0,0.0,1.0,0.0,3.0,0.9827139418954698,1.0,NaN,NaN,0.5191982267942776,0.48961376530978584,NaN,NaN,NaN,NaN,NaN,NaN,4.0,0.8104580284049177,1.0,NaN,NaN,NaN,NaN,1.597814734460176,0.29963351684695766,NaN,1.0,NaN,NaN
400,5,1.0,69.0,1.0,0.0,3.0,0.0,3.0,0.9827139418954698,1.0,NaN,NaN,0.522393693063836,0.49455076635007866,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.4808202815388778,2.0,NaN,261.6213603040404,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN
500,0,1.0,69.0,1.0,0.0,3.0,0.0,3.0,0.9827139418954698,1.0,NaN,NaN,0.522393693063836,0.49455076635007866,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.4808202815388778,2.0,NaN,261.6213603040404,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN
500,1,1.0,69.0,1.0,0.0,3.0,0.0,3.0,0.9827139418954698,1.0,NaN,NaN,0.522393693063836,0.49455076635007866,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0854613381352285,2.0,NaN,263.3828372333028,NaN,NaN,NaN,NaN,NaN,2.0,NaN,38.28281627154912
500,2,1.0,21.0,1.0,2.0,1.0,0.0,0.0,0.6861458418075884,1.0,125.68996383267918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.4034675316918626,2.0,NaN,NaN,NaN,NaN,1.5616570978733555,0.29728401255572057,NaN,3.0,NaN,NaN
500,3,1.0,69.0,1.0,0.0,3.0,0.0,3.0,0.9827139418954698,1.0,NaN,NaN,0.522393693063836,0.49455076635007866,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.4808202815388778,2.0,NaN,261.6213603040404,NaN,NaN,NaN,NaN,NaN,1.0,NaN,NaN
500,4,1.0,11.0,1.0,2.0,5.0,0.0,3.0,0.8069833938595719,1.0,NaN,NaN,0.6777869102901243,0.9796923415780888,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.7824771610256945,2.0,NaN,218.45394988263672,NaN,NaN,NaN,NaN,NaN,3.0,NaN,NaN
500,5,1.0,23.0,1.0,2.0,2.0,0.0,3.0,0.5238892212876154,1.0,NaN,NaN,0.9769126681115475,0.9575688090413539,NaN,NaN,NaN,NaN,NaN,NaN,3.0,0.8163808759203905,1.0,NaN,NaN,NaN,0.20545142967319296,NaN,NaN,NaN,3.0,NaN,NaN
500,6,1.0,22.0,1.0,5.0,2.0,0.0,7.0,0.6279242826046715,2.0,NaN,NaN,NaN,NaN,NaN,NaN,0.48264457219047907,0.9556017811335739,NaN,NaN,5.0,1.2950795064853793,1.0,NaN,NaN,NaN,NaN,NaN,NaN,2.888979616634536,3.0,NaN,NaN
600,0,1.0,71.0,1.0,2.0,5.0,0.0,3.0,0.7965501080692566,1.0,NaN,NaN,0.7000061734542997,0.9605613911258114,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.792928119184262,0.0,NaN,126.95537000206055,NaN,NaN,NaN,NaN,NaN,3.0,NaN,NaN
