Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,blxAlphaBetaCrossoverBeta,blxAlphaBetaCrossoverAlpha,laplaceCrossoverScale,fuzzyRecombinationCrossoverAlpha,pcxCrossoverZeta,pcxCrossoverEta,undcCrossoverZeta,undcCrossoverEta,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,levyFlightMutationBeta,levyFlightMutationStepSize,powerLawMutationDelta,selection,selectionTournamentSize,boltzmannTemperature
100,0,1.0,52.0,1.0,2.0,5.0,0.0,5.0,0.2862582742059737,1.0,NaN,NaN,NaN,NaN,0.32228306788201816,NaN,NaN,NaN,NaN,NaN,4.0,1.82682571987443,2.0,NaN,NaN,NaN,NaN,1.8014207921687864,0.8860791534874193,NaN,2.0,NaN,36.478029414235756
200,0,1.0,22.0,1.0,1.0,2.0,0.0,3.0,0.8090008210653736,2.0,NaN,NaN,0.19553088621637765,0.2999635475469522,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.7721431479018515,2.0,NaN,NaN,NaN,NaN,1.8437943946266768,0.8890766554880701,NaN,3.0,NaN,NaN
200,1,1.0,18.0,1.0,1.0,4.0,0.0,0.0,0.5546269862490658,1.0,328.6449486589275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.6408428367716406,2.0,NaN,NaN,NaN,NaN,1.6270477673116792,0.8007707447294614,NaN,3.0,NaN,NaN
300,0,1.0,50.0,1.0,2.0,5.0,0.0,3.0,0.7619454362481574,2.0,NaN,NaN,0.7019497264770119,0.7789094847687149,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.324734071181049,2.0,NaN,NaN,NaN,NaN,1.2124116038467319,0.8860791534874193,NaN,2.0,NaN,37.25143093551319
400,0,1.0,50.0,1.0,2.0,5.0,0.0,3.0,0.7713364059278149,2.0,NaN,NaN,0.6601840591854804,0.7701114455975333,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.324734071181049,2.0,NaN,NaN,NaN,NaN,1.2124116038467319,0.8860791534874193,NaN,2.0,NaN,37.25143093551319
400,1,1.0,52.0,1.0,2.0,5.0,0.0,3.0,0.7619454362481574,0.0,NaN,NaN,0.7019497264770119,0.7789094847687149,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.3244109848819432,2.0,NaN,NaN,NaN,NaN,1.2227141620467474,0.8860791534874193,NaN,2.0,NaN,37.25143093551319
400,2,1.0,50.0,1.0,2.0,5.0,0.0,3.0,0.7713364059278149,2.0,NaN,NaN,0.6601840591854804,0.7701114455975333,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.7709187061020801,2.0,NaN,NaN,NaN,NaN,1.205453878330355,0.8861404517898108,NaN,2.0,NaN,37.48117423074078
500,0,1.0,50.0,1.0,2.0,5.0,0.0,3.0,0.7713364059278149,2.0,NaN,NaN,0.6601840591854804,0.7701114455975333,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.324734071181049,2.0,NaN,NaN,NaN,NaN,1.2124116038467319,0.8860791534874193,NaN,2.0,NaN,37.25143093551319
500,1,1.0,50.0,1.0,2.0,5.0,0.0,3.0,0.7761718411157368,2.0,NaN,NaN,0.6601840591854804,0.7701114455975333,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.8281443801824864,2.0,NaN,NaN,NaN,NaN,1.23269495069279,0.8860791534874193,NaN,2.0,NaN,36.46998388378602
600,0,1.0,50.0,1.0,2.0,5.0,0.0,3.0,0.7713364059278149,2.0,NaN,NaN,0.6601840591854804,0.7701114455975333,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.324734071181049,2.0,NaN,NaN,NaN,NaN,1.2124116038467319,0.8860791534874193,NaN,2.0,NaN,37.25143093551319
600,1,1.0,21.0,1.0,2.0,4.0,0.0,1.0,0.5739290053197191,2.0,NaN,0.9408020983450364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.741956092284623,2.0,NaN,NaN,NaN,NaN,1.0884871209395799,0.8781992333645194,NaN,2.0,NaN,38.86610127685779
600,2,1.0,50.0,1.0,1.0,0.0,0.0,3.0,0.7713364059278149,2.0,NaN,NaN,0.7088851024267141,0.7701114455975333,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.8552641018162765,2.0,NaN,NaN,NaN,NaN,1.206026836459934,0.8861406263742689,NaN,2.0,NaN,37.83726579778828
600,3,1.0,50.0,1.0,2.0,5.0,0.0,3.0,0.7713361634616814,2.0,NaN,NaN,0.6601840591854804,0.7701114455975333,NaN,NaN,NaN,NaN,NaN,NaN,4.0,1.8281443801824864,2.0,NaN,NaN,NaN,NaN,1.1791464916234793,0.8861420643725183,NaN,2.0,NaN,36.427380012110255
