Evaluation,SolutionId,EP,HVMinus
100,0,0.181586207551479,-0.5840776906215398
100,1,0.17775266057623743,-0.5826758867721472
200,0,0.17663608019369592,-0.5846228666320488
300,0,0.1762029135864462,-0.5849631567605054
300,1,0.17618387681783565,-0.584859505956424
400,0,0.1762029135864462,-0.5849631567605054
400,1,0.17618387681783565,-0.584859505956424
400,2,0.1757783506403012,-0.5845401968657524
400,3,0.1773843307218592,-0.5850219179022554
400,4,0.17763541496853866,-0.5855475574514724
500,0,0.1762029135864462,-0.5849631567605054
500,1,0.1757783506403012,-0.5845401968657524
500,2,0.17763541496853866,-0.5855475574514724
500,3,0.17578850223754258,-0.584923461688717
500,4,0.1764288709682317,-0.5853528695159995
500,5,0.17625974600803196,-0.5853277767115613
500,6,0.17757686375715034,-0.5854213510763198
600,0,0.17578850223754258,-0.584923461688717
600,1,0.17546659154219676,-0.5846614051102564
600,2,0.17588802590416341,-0.5852327880853903
600,3,0.1769917063597597,-0.5857816609965103
600,4,0.17557114747953542,-0.5847493374480064
600,5,0.17621166924762718,-0.5856001942888425
700,0,0.17546659154219676,-0.5846614051102564
700,1,0.17588802590416341,-0.5852327880853903
700,2,0.1769917063597597,-0.5857816609965103
700,3,0.17621166924762718,-0.5856001942888425
700,4,0.1764740120131202,-0.585657626849497
700,5,0.17547369390223153,-0.5848617627967957
700,6,0.1766805395093686,-0.5856610534089314
700,7,0.17556650548182964,-0.5849732994916131
700,8,0.1774155661193008,-0.5858093622420303
800,0,0.17588802590416341,-0.5852327880853903
800,1,0.17621166924762718,-0.5856001942888425
800,2,0.1761750974447933,-0.5854639688701945
800,3,0.17599937166213228,-0.5853305528818803
800,4,0.17696694863854515,-0.5858810591925568
800,5,0.1756115152816846,-0.5852259335390698
800,6,0.17636103425614513,-0.5857478212564926
800,7,0.17515747225223743,-0.5851482612740493
900,0,0.17588802590416341,-0.5852327880853903
900,1,0.17621166924762718,-0.5856001942888425
900,2,0.17599937166213228,-0.5853305528818803
900,3,0.17696694863854515,-0.5858810591925568
900,4,0.1756115152816846,-0.5852259335390698
900,5,0.17636103425614513,-0.5857478212564926
900,6,0.17515747225223743,-0.5851482612740493
900,7,0.17664714132631254,-0.5857841611880495
900,8,0.17632976077532114,-0.5856752281129286
900,9,0.1760789769222607,-0.5855246548243392
1000,0,0.17621166924762718,-0.5856001942888425
1000,1,0.17696694863854515,-0.5858810591925568
1000,2,0.17636103425614513,-0.5857478212564926
1000,3,0.17515747225223743,-0.5851482612740493
1000,4,0.17664714132631254,-0.5857841611880495
1000,5,0.1760789769222607,-0.5855246548243392
1000,6,0.17528117923323924,-0.5852594111625691
1000,7,0.1755956322703709,-0.5854898690099752
1000,8,0.17537497878453126,-0.5854019613877389
1000,9,0.17625896637610897,-0.5857181015775214
1100,0,0.17621166924762718,-0.5856001942888425
1100,1,0.17696694863854515,-0.5858810591925568
1100,2,0.17636103425614513,-0.5857478212564926
1100,3,0.17515747225223743,-0.5851482612740493
1100,4,0.17664714132631254,-0.5857841611880495
1100,5,0.1760789769222607,-0.5855246548243392
1100,6,0.17528117923323924,-0.5852594111625691
1100,7,0.1755956322703709,-0.5854898690099752
1100,8,0.17537497878453126,-0.5854019613877389
1100,9,0.17625896637610897,-0.5857181015775214
1100,10,0.17524057500522164,-0.5852469148527318
1100,11,0.17705708014209856,-0.5859033149725179
1200,0,0.17621166924762718,-0.5856001942888425
1200,1,0.17696694863854515,-0.5858810591925568
1200,2,0.17636103425614513,-0.5857478212564926
1200,3,0.17515747225223743,-0.5851482612740493
1200,4,0.17664714132631254,-0.5857841611880495
1200,5,0.1760789769222607,-0.5855246548243392
1200,6,0.17528117923323924,-0.5852594111625691
1200,7,0.1755956322703709,-0.5854898690099752
1200,8,0.17537497878453126,-0.5854019613877389
1200,9,0.17625896637610897,-0.5857181015775214
1200,10,0.17524057500522164,-0.5852469148527318
1200,11,0.17689241296866018,-0.5857992539408182
1200,12,0.17704856556994952,-0.5859178330174672
1200,13,0.17507356131352428,-0.5850119955665614
1200,14,0.17503581503883292,-0.5847529085063535
1300,0,0.17636103425614513,-0.5857478212564926
1300,1,0.1760789769222607,-0.5855246548243392
1300,2,0.17528117923323924,-0.5852594111625691
1300,3,0.1755956322703709,-0.5854898690099752
1300,4,0.17537497878453126,-0.5854019613877389
1300,5,0.17625896637610897,-0.5857181015775214
1300,6,0.17524057500522164,-0.5852469148527318
1300,7,0.17704856556994952,-0.5859178330174672
1300,8,0.17507356131352428,-0.5850119955665614
1300,9,0.17503581503883292,-0.5847529085063535
1300,10,0.17489818004275023,-0.5845694720397292
1300,11,0.17510223635575464,-0.58520404166571
1300,12,0.17688239662994018,-0.585898296140665
1300,13,0.17615236716669228,-0.5856418572225678
1300,14,0.17660447924440278,-0.585827162963453
1300,15,0.17504344167461608,-0.5847846017572839
1400,0,0.17636103425614513,-0.5857478212564926
1400,1,0.17528117923323924,-0.5852594111625691
1400,2,0.1755956322703709,-0.5854898690099752
1400,3,0.17537497878453126,-0.5854019613877389
1400,4,0.17625896637610897,-0.5857181015775214
1400,5,0.17524057500522164,-0.5852469148527318
1400,6,0.17489818004275023,-0.5845694720397292
1400,7,0.17510223635575464,-0.58520404166571
1400,8,0.17615236716669228,-0.5856418572225678
1400,9,0.17499273571519813,-0.5847799965636408
1400,10,0.17644474142778624,-0.5859301662995645
1400,11,0.17570412180005238,-0.5856018817740094
1400,12,0.17638305052714934,-0.5857570093551333
1400,13,0.17500296291866246,-0.5850282124524198
1500,0,0.17636103425614513,-0.5857478212564926
1500,1,0.17528117923323924,-0.5852594111625691
1500,2,0.1755956322703709,-0.5854898690099752
1500,3,0.17537497878453126,-0.5854019613877389
1500,4,0.17625896637610897,-0.5857181015775214
1500,5,0.17524057500522164,-0.5852469148527318
1500,6,0.17489818004275023,-0.5845694720397292
1500,7,0.17510223635575464,-0.58520404166571
1500,8,0.17644474142778624,-0.5859301662995645
1500,9,0.17570412180005238,-0.5856018817740094
1500,10,0.17638305052714934,-0.5857570093551333
1500,11,0.17608887277563626,-0.585699012150855
1500,12,0.17491793478728238,-0.5851786759954868
1600,0,0.17636103425614513,-0.5857478212564926
1600,1,0.17528117923323924,-0.5852594111625691
1600,2,0.1755956322703709,-0.5854898690099752
1600,3,0.17537497878453126,-0.5854019613877389
1600,4,0.17625896637610897,-0.5857181015775214
1600,5,0.17524057500522164,-0.5852469148527318
1600,6,0.17489818004275023,-0.5845694720397292
1600,7,0.17510223635575464,-0.58520404166571
1600,8,0.17644474142778624,-0.5859301662995645
1600,9,0.17570412180005238,-0.5856018817740094
1600,10,0.17638305052714934,-0.5857570093551333
1600,11,0.17608887277563626,-0.585699012150855
1600,12,0.17491793478728238,-0.5851786759954868
1600,13,0.1771333666880787,-0.5859594660634577
1600,14,0.1756634854398564,-0.5854953328239475
1600,15,0.17598100200683656,-0.5856028669962817
1700,0,0.17636103425614513,-0.5857478212564926
1700,1,0.17528117923323924,-0.5852594111625691
1700,2,0.1755956322703709,-0.5854898690099752
1700,3,0.17537497878453126,-0.5854019613877389
1700,4,0.17625896637610897,-0.5857181015775214
1700,5,0.17524057500522164,-0.5852469148527318
1700,6,0.17510223635575464,-0.58520404166571
1700,7,0.17644474142778624,-0.5859301662995645
1700,8,0.17570412180005238,-0.5856018817740094
1700,9,0.17638305052714934,-0.5857570093551333
1700,10,0.17608887277563626,-0.585699012150855
1700,11,0.17491793478728238,-0.5851786759954868
1700,12,0.1771333666880787,-0.5859594660634577
1700,13,0.1756634854398564,-0.5854953328239475
1700,14,0.17598100200683656,-0.5856028669962817
1700,15,0.17472742427537927,-0.5850688126178643
1800,0,0.17636103425614513,-0.5857478212564926
1800,1,0.17528117923323924,-0.5852594111625691
1800,2,0.1755956322703709,-0.5854898690099752
1800,3,0.17537497878453126,-0.5854019613877389
1800,4,0.17625896637610897,-0.5857181015775214
1800,5,0.17524057500522164,-0.5852469148527318
1800,6,0.17510223635575464,-0.58520404166571
1800,7,0.17644474142778624,-0.5859301662995645
1800,8,0.17570412180005238,-0.5856018817740094
1800,9,0.17638305052714934,-0.5857570093551333
1800,10,0.17608887277563626,-0.585699012150855
1800,11,0.17491793478728238,-0.5851786759954868
1800,12,0.1771333666880787,-0.5859594660634577
1800,13,0.1756634854398564,-0.5854953328239475
1800,14,0.17598100200683656,-0.5856028669962817
1800,15,0.17472742427537927,-0.5850688126178643
1800,16,0.1747772978628788,-0.5851068721538993
1900,0,0.17636103425614513,-0.5857478212564926
1900,1,0.17528117923323924,-0.5852594111625691
1900,2,0.1755956322703709,-0.5854898690099752
1900,3,0.17537497878453126,-0.5854019613877389
1900,4,0.17625896637610897,-0.5857181015775214
1900,5,0.17524057500522164,-0.5852469148527318
1900,6,0.17510223635575464,-0.58520404166571
1900,7,0.17644474142778624,-0.5859301662995645
1900,8,0.17570412180005238,-0.5856018817740094
1900,9,0.17638305052714934,-0.5857570093551333
1900,10,0.17608887277563626,-0.585699012150855
1900,11,0.17491793478728238,-0.5851786759954868
1900,12,0.1771333666880787,-0.5859594660634577
1900,13,0.1756634854398564,-0.5854953328239475
1900,14,0.17598100200683656,-0.5856028669962817
1900,15,0.17472742427537927,-0.5850688126178643
1900,16,0.1747772978628788,-0.5851068721538993
2000,0,0.17636103425614513,-0.5857478212564926
2000,1,0.17528117923323924,-0.5852594111625691
2000,2,0.1755956322703709,-0.5854898690099752
2000,3,0.17537497878453126,-0.5854019613877389
2000,4,0.17625896637610897,-0.5857181015775214
2000,5,0.17524057500522164,-0.5852469148527318
2000,6,0.17510223635575464,-0.58520404166571
2000,7,0.17644474142778624,-0.5859301662995645
2000,8,0.17570412180005238,-0.5856018817740094
2000,9,0.17638305052714934,-0.5857570093551333
2000,10,0.17608887277563626,-0.585699012150855
2000,11,0.17491793478728238,-0.5851786759954868
2000,12,0.1771333666880787,-0.5859594660634577
2000,13,0.1756634854398564,-0.5854953328239475
2000,14,0.17598100200683656,-0.5856028669962817
2000,15,0.17472742427537927,-0.5850688126178643
2000,16,0.17475519988696855,-0.5851654032532416
2000,17,0.17472961349795038,-0.5850863471938866
2000,18,0.17528537411627645,-0.5853602525368619
2000,19,0.1755731755813118,-0.5854418583196476
2100,0,0.17636103425614513,-0.5857478212564926
2100,1,0.17537497878453126,-0.5854019613877389
2100,2,0.17625896637610897,-0.5857181015775214
2100,3,0.17644474142778624,-0.5859301662995645
2100,4,0.17570412180005238,-0.5856018817740094
2100,5,0.17638305052714934,-0.5857570093551333
2100,6,0.17608887277563626,-0.585699012150855
2100,7,0.1771333666880787,-0.5859594660634577
2100,8,0.17598100200683656,-0.5856028669962817
2100,9,0.17472742427537927,-0.5850688126178643
2100,10,0.17475519988696855,-0.5851654032532416
2100,11,0.17472961349795038,-0.5850863471938866
2100,12,0.17528537411627645,-0.5853602525368619
2100,13,0.17503500038547606,-0.585276255898332
2100,14,0.1748328902737832,-0.5852475106002767
2100,15,0.17551883054088294,-0.5855487301777565
2100,16,0.1771964565895933,-0.5860135174946729
2100,17,0.17549386979475615,-0.5854198280775225
2200,0,0.17537497878453126,-0.5854019613877389
2200,1,0.17625896637610897,-0.5857181015775214
2200,2,0.17644474142778624,-0.5859301662995645
2200,3,0.17570412180005238,-0.5856018817740094
2200,4,0.17608887277563626,-0.585699012150855
2200,5,0.1771333666880787,-0.5859594660634577
2200,6,0.17472742427537927,-0.5850688126178643
2200,7,0.17475519988696855,-0.5851654032532416
2200,8,0.17472961349795038,-0.5850863471938866
2200,9,0.17528537411627645,-0.5853602525368619
2200,10,0.17503500038547606,-0.585276255898332
2200,11,0.1748328902737832,-0.5852475106002767
2200,12,0.17551883054088294,-0.5855487301777565
2200,13,0.1771964565895933,-0.5860135174946729
2200,14,0.17549386979475615,-0.5854198280775225
2200,15,0.17628586731180373,-0.585870964726415
2200,16,0.17592842363239458,-0.5856370888027084
2200,17,0.1762713632649587,-0.5857931972987059
2200,18,0.17467795138741982,-0.5846254103278806
2300,0,0.17537497878453126,-0.5854019613877389
2300,1,0.17644474142778624,-0.5859301662995645
2300,2,0.1771333666880787,-0.5859594660634577
2300,3,0.17472742427537927,-0.5850688126178643
2300,4,0.17475519988696855,-0.5851654032532416
2300,5,0.17472961349795038,-0.5850863471938866
2300,6,0.17528537411627645,-0.5853602525368619
2300,7,0.17503500038547606,-0.585276255898332
2300,8,0.1748328902737832,-0.5852475106002767
2300,9,0.17551883054088294,-0.5855487301777565
2300,10,0.1771964565895933,-0.5860135174946729
2300,11,0.17549386979475615,-0.5854198280775225
2300,12,0.17628586731180373,-0.585870964726415
2300,13,0.17467795138741982,-0.5846254103278806
2300,14,0.17588499430971669,-0.5856707364023253
2300,15,0.17570340877356674,-0.5856650367835202
2300,16,0.17592841330164963,-0.5857968290602241
2400,0,0.17644474142778624,-0.5859301662995645
2400,1,0.1771333666880787,-0.5859594660634577
2400,2,0.17503500038547606,-0.585276255898332
2400,3,0.1748328902737832,-0.5852475106002767
2400,4,0.17551883054088294,-0.5855487301777565
2400,5,0.1771964565895933,-0.5860135174946729
2400,6,0.17628586731180373,-0.585870964726415
2400,7,0.17588499430971669,-0.5856707364023253
2400,8,0.17570340877356674,-0.5856650367835202
2400,9,0.17592841330164963,-0.5857968290602241
2400,10,0.17465021986364596,-0.5851768200323723
2400,11,0.1746474274796526,-0.5851673177927238
2400,12,0.17522968275341355,-0.5854216068748194
2500,0,0.17644474142778624,-0.5859301662995645
2500,1,0.1748328902737832,-0.5852475106002767
2500,2,0.17551883054088294,-0.5855487301777565
2500,3,0.1771964565895933,-0.5860135174946729
2500,4,0.17628586731180373,-0.585870964726415
2500,5,0.17588499430971669,-0.5856707364023253
2500,6,0.17570340877356674,-0.5856650367835202
2500,7,0.17592841330164963,-0.5857968290602241
2500,8,0.17465021986364596,-0.5851768200323723
2500,9,0.1746474274796526,-0.5851673177927238
2500,10,0.17522968275341355,-0.5854216068748194
2500,11,0.1771308061315937,-0.5859957032558917
2500,12,0.1749280529525844,-0.5853591803504034
2500,13,0.17660221623743777,-0.5859575425903608
2600,0,0.17644474142778624,-0.5859301662995645
2600,1,0.1748328902737832,-0.5852475106002767
2600,2,0.17551883054088294,-0.5855487301777565
2600,3,0.1771964565895933,-0.5860135174946729
2600,4,0.17628586731180373,-0.585870964726415
2600,5,0.17588499430971669,-0.5856707364023253
2600,6,0.17570340877356674,-0.5856650367835202
2600,7,0.17592841330164963,-0.5857968290602241
2600,8,0.17465021986364596,-0.5851768200323723
2600,9,0.1746474274796526,-0.5851673177927238
2600,10,0.17522968275341355,-0.5854216068748194
2600,11,0.1771308061315937,-0.5859957032558917
2600,12,0.1749280529525844,-0.5853591803504034
2600,13,0.17660221623743777,-0.5859575425903608
2700,0,0.17644474142778624,-0.5859301662995645
2700,1,0.1748328902737832,-0.5852475106002767
2700,2,0.17551883054088294,-0.5855487301777565
2700,3,0.1771964565895933,-0.5860135174946729
2700,4,0.17628586731180373,-0.585870964726415
2700,5,0.17588499430971669,-0.5856707364023253
2700,6,0.17570340877356674,-0.5856650367835202
2700,7,0.17592841330164963,-0.5857968290602241
