Evaluation,SolutionId,algorithmResult,populationSizeWithArchive,archiveType,createInitialSolutions,offspringPopulationSize,variation,crossover,crossoverProbability,crossoverRepairStrategy,sbxDistributionIndex,blxAlphaCrossoverAlpha,mutation,mutationProbabilityFactor,mutationRepairStrategy,uniformMutationPerturbation,polynomialMutationDistributionIndex,linkedPolynomialMutationDistributionIndex,nonUniformMutationPerturbation,selection,selectionTournamentSize
100,0,0.0,NaN,NaN,2.0,6.0,0.0,0.0,0.24968123120955876,1.0,100.4745550762008,NaN,0.0,0.6215568713848871,2.0,0.47547718387415505,NaN,NaN,NaN,0.0,2.0
100,1,0.0,NaN,NaN,0.0,4.0,0.0,0.0,0.9708203938982597,1.0,97.330248926138,NaN,3.0,0.7592800996838878,0.0,NaN,NaN,NaN,0.6799661449741559,1.0,NaN
200,0,0.0,NaN,NaN,2.0,6.0,0.0,0.0,0.2511589021077617,1.0,138.0682010532362,NaN,0.0,0.6215568713848871,2.0,0.4812086117170461,NaN,NaN,NaN,0.0,2.0
300,0,0.0,NaN,NaN,2.0,6.0,0.0,0.0,0.2511589021077617,1.0,138.0682010532362,NaN,0.0,0.6215568713848871,2.0,0.4812086117170461,NaN,NaN,NaN,0.0,2.0
300,1,0.0,NaN,NaN,2.0,6.0,0.0,0.0,0.2511589021077617,1.0,146.96252799845024,NaN,0.0,0.6215568713848871,2.0,0.4812086117170461,NaN,NaN,NaN,0.0,9.0
400,0,1.0,59.0,0.0,1.0,5.0,0.0,0.0,0.8353692221279623,1.0,95.68405578083832,NaN,0.0,0.6204329325735626,2.0,0.4779891146661965,NaN,NaN,NaN,1.0,NaN
400,1,1.0,110.0,1.0,0.0,3.0,0.0,0.0,0.6247252391384379,0.0,140.52215430861753,NaN,0.0,0.5051940087140686,2.0,0.24600883809537274,NaN,NaN,NaN,1.0,NaN
500,0,0.0,NaN,NaN,1.0,6.0,0.0,0.0,0.677039429803946,1.0,101.52325608185967,NaN,0.0,0.624015855357592,2.0,0.4729904771710832,NaN,NaN,NaN,0.0,4.0
500,1,1.0,196.0,1.0,1.0,0.0,0.0,0.0,0.8364823754213262,2.0,342.65957776025334,NaN,0.0,0.6247589663188824,2.0,0.637308190999962,NaN,NaN,NaN,0.0,5.0
600,0,1.0,62.0,1.0,1.0,4.0,0.0,0.0,0.5482049106027981,1.0,89.23570843090606,NaN,0.0,0.6218678647282413,2.0,0.4709228388709504,NaN,NaN,NaN,0.0,2.0
700,0,1.0,62.0,1.0,1.0,4.0,0.0,0.0,0.5482049106027981,1.0,89.23570843090606,NaN,0.0,0.6218678647282413,2.0,0.4709228388709504,NaN,NaN,NaN,0.0,2.0
700,1,1.0,59.0,0.0,1.0,5.0,0.0,0.0,0.8353692221279623,1.0,95.68405578083832,NaN,0.0,0.6204329325735626,2.0,0.4779891146661965,NaN,NaN,NaN,1.0,NaN
