front_type,budget,indicator,consensus_rank,parameter_family,consensus_importance,RE3D_normalized_importance,RWA3D_normalized_importance
referenceFronts,7000,EP,1,populationSizeWithArchive,0.5523827732586488,0.49927176115624217,0.6054937853610555
referenceFronts,7000,EP,2,crossoverProbability,0.06684401017495446,0.051158757488313146,0.08252926286159579
referenceFronts,7000,EP,3,powerLawMutationDelta,0.060700148038806835,0.024349864775763456,0.09705043130185022
referenceFronts,7000,EP,4,selection,0.04955560874796179,0.06928297629427803,0.029828241201645546
referenceFronts,7000,EP,5,mutationProbabilityFactor,0.04362669331769013,0.04503546512097494,0.04221792151440532
referenceFronts,7000,EP,6,levyFlightMutationStepSize,0.03999452640756025,0.07721722565448047,0.0027718271606400383
referenceFronts,7000,EP,7,laplaceCrossoverScale,0.030869811389275692,0.04847429716352255,0.013265325615028838
referenceFronts,7000,EP,8,crossoverRepairStrategy,0.020015434808656567,0.009509833121108894,0.03052103649620424
referenceFronts,7000,EP,9,levyFlightMutationBeta,0.019579915661118837,0.03712376403569853,0.0020360672865391443
referenceFronts,7000,EP,10,createInitialSolutions,0.017969400229768253,0.028575687091145184,0.00736311336839132
referenceFronts,7000,EP,11,boltzmannTemperature,0.016051315437955026,0.021588773688892015,0.01051385718701804
referenceFronts,7000,EP,12,offspringPopulationSize,0.015546156630092102,0.021306785753973857,0.009785527506210347
referenceFronts,7000,EP,13,blxAlphaBetaCrossoverBeta,0.01536788389513476,0.011689792809382886,0.019045974980886636
referenceFronts,7000,EP,14,blxAlphaBetaCrossoverAlpha,0.015246713815539542,0.013148560608418746,0.01734486702266034
referenceFronts,7000,EP,15,blxAlphaCrossoverAlpha,0.01401252868009802,0.018925341522076557,0.00909971583811948
referenceFronts,7000,EP,16,crossover,0.010093632479363575,0.01472862583465534,0.00545863912407181
referenceFronts,7000,EP,17,mutationRepairStrategy,0.004464068576291116,0.0017135066784430305,0.0072146304741392015
referenceFronts,7000,EP,18,selectionTournamentSize,0.003235436032118668,0.00026921985673360155,0.006201652207503734
referenceFronts,7000,EP,19,mutation,0.0012456879280515498,0.0014552386904169274,0.0010361371656861722
referenceFronts,7000,EP,20,pcxCrossoverEta,0.0012335383104919322,0.0023112358401914507,0.00015584078079241388
referenceFronts,7000,EP,21,pcxCrossoverZeta,0.0011452763299599816,0.002183541300380299,0.00010701135953966429
referenceFronts,7000,EP,22,sbxDistributionIndex,0.0004394328705720071,0.0,0.0008788657411440142
referenceFronts,7000,EP,23,nonUniformMutationPerturbation,0.00016890358407645425,0.0003378071681529085,0.0
referenceFronts,7000,EP,24,uniformMutationPerturbation,8.882882651126409e-05,0.00017765765302252818,0.0
referenceFronts,7000,EP,25,linkedPolynomialMutationDistributionIndex,5.910708929109044e-05,0.00011821417858218088,0.0
referenceFronts,7000,EP,26,fuzzyRecombinationCrossoverAlpha,4.0134222436183065e-05,0.0,8.026844487236613e-05
referenceFronts,7000,EP,27,undcCrossoverZeta,1.5873020828238408e-05,3.1746041656476815e-05,0.0
referenceFronts,7000,EP,28,undcCrossoverEta,7.160236746906027e-06,1.4320473493812054e-05,0.0
referenceFronts,7000,HVMinus,1,populationSizeWithArchive,0.34099203141644957,0.33849232840787624,0.3434917344250229
referenceFronts,7000,HVMinus,2,laplaceCrossoverScale,0.14458194282106152,0.2692561088412045,0.019907776800918514
referenceFronts,7000,HVMinus,3,powerLawMutationDelta,0.10477063459574676,0.019073955220809454,0.19046731397068406
referenceFronts,7000,HVMinus,4,crossoverProbability,0.07985574838096432,0.04410098216289264,0.11561051459903599
referenceFronts,7000,HVMinus,5,mutationProbabilityFactor,0.07472901578781421,0.07736002204925503,0.0720980095263734
referenceFronts,7000,HVMinus,6,crossover,0.034841003205763665,0.04819355213815951,0.021488454273367822
referenceFronts,7000,HVMinus,7,crossoverRepairStrategy,0.02892098718842638,0.0026551746202156516,0.05518679975663711
referenceFronts,7000,HVMinus,8,offspringPopulationSize,0.025031174839339886,0.032298349763930624,0.017763999914749147
referenceFronts,7000,HVMinus,9,createInitialSolutions,0.022791236040302757,0.016947917056545674,0.02863455502405984
referenceFronts,7000,HVMinus,10,levyFlightMutationStepSize,0.02145909686828978,0.03411016755968349,0.008808026176896072
referenceFronts,7000,HVMinus,11,levyFlightMutationBeta,0.018010812717580822,0.016001828810288575,0.020019796624873073
referenceFronts,7000,HVMinus,12,blxAlphaBetaCrossoverAlpha,0.01484085411605908,0.01539400746898647,0.01428770076313169
referenceFronts,7000,HVMinus,13,mutationRepairStrategy,0.014134595090461614,0.008077476442546899,0.02019171373837633
referenceFronts,7000,HVMinus,14,mutation,0.013848849379840971,0.007031763057592201,0.02066593570208974
referenceFronts,7000,HVMinus,15,selection,0.012646098075815897,0.01450095463634508,0.010791241515286713
referenceFronts,7000,HVMinus,16,blxAlphaBetaCrossoverBeta,0.011523678734699354,0.008346067959445041,0.014701289509953667
referenceFronts,7000,HVMinus,17,pcxCrossoverEta,0.008757689475150912,0.017446953888003516,6.84250622983106e-05
referenceFronts,7000,HVMinus,18,blxAlphaCrossoverAlpha,0.008358415417577796,0.006332218268482181,0.010384612566673413
referenceFronts,7000,HVMinus,19,linkedPolynomialMutationDistributionIndex,0.005191946492144845,0.01038389298428969,0.0
referenceFronts,7000,HVMinus,20,pcxCrossoverZeta,0.004341588733945217,0.008610047307188258,7.31301607021751e-05
referenceFronts,7000,HVMinus,21,fuzzyRecombinationCrossoverAlpha,0.004005087065162386,0.0,0.008010174130324772
referenceFronts,7000,HVMinus,22,boltzmannTemperature,0.0034970465110865435,0.0036918854492211947,0.0033022075729518922
referenceFronts,7000,HVMinus,23,selectionTournamentSize,0.0018734420325108173,0.0011410030686092429,0.0026058809964123915
referenceFronts,7000,HVMinus,24,sbxDistributionIndex,0.0007203535945905386,0.0,0.0014407071891810771
referenceFronts,7000,HVMinus,25,uniformMutationPerturbation,0.00013025863679850793,0.00026051727359701585,0.0
referenceFronts,7000,HVMinus,26,nonUniformMutationPerturbation,9.183870434761147e-05,0.00018367740869522294,0.0
referenceFronts,7000,HVMinus,27,undcCrossoverZeta,5.309012819450453e-05,0.00010618025638900907,0.0
referenceFronts,7000,HVMinus,28,undcCrossoverEta,1.4839498738823916e-06,2.967899747764783e-06,0.0
extremePointsFronts,7000,EP,1,powerLawMutationDelta,0.21141766677985274,0.2647572630153159,0.15807807054438963
extremePointsFronts,7000,EP,2,mutationProbabilityFactor,0.15394209556350735,0.14761751685591973,0.160266674271095
extremePointsFronts,7000,EP,3,populationSizeWithArchive,0.13232626513247397,0.08988120463129931,0.1747713256336486
extremePointsFronts,7000,EP,4,crossoverProbability,0.10269631938580218,0.09787445767378447,0.10751818109781988
extremePointsFronts,7000,EP,5,laplaceCrossoverScale,0.09583356417469928,0.07547546232982771,0.11619166601957084
extremePointsFronts,7000,EP,6,boltzmannTemperature,0.05164120221924503,0.05975312267278847,0.04352928176570159
extremePointsFronts,7000,EP,7,blxAlphaCrossoverAlpha,0.044288682529852824,0.03620700199830334,0.0523703630614023
extremePointsFronts,7000,EP,8,offspringPopulationSize,0.035452358228070954,0.03746232866883479,0.03344238778730712
extremePointsFronts,7000,EP,9,createInitialSolutions,0.033450928747638164,0.036516191528465275,0.030385665966811057
extremePointsFronts,7000,EP,10,levyFlightMutationBeta,0.02953752197777951,0.05902171031772229,5.333363783672915e-05
extremePointsFronts,7000,EP,11,levyFlightMutationStepSize,0.01923682550565636,0.038376016626126636,9.763438518608537e-05
extremePointsFronts,7000,EP,12,selection,0.018262796613708054,0.016713993116995743,0.019811600110420362
extremePointsFronts,7000,EP,13,selectionTournamentSize,0.016499934236820467,0.01673261053773086,0.016267257935910072
extremePointsFronts,7000,EP,14,blxAlphaBetaCrossoverAlpha,0.012214018321073123,0.001874605829892405,0.02255343081225384
extremePointsFronts,7000,EP,15,blxAlphaBetaCrossoverBeta,0.011852485374856968,0.0012627628712298773,0.02244220787848406
extremePointsFronts,7000,EP,16,crossoverRepairStrategy,0.008370871826154813,0.009176482059888401,0.007565261592421224
extremePointsFronts,7000,EP,17,crossover,0.008126878192971528,0.009589843849431014,0.006663912536512041
extremePointsFronts,7000,EP,18,mutation,0.007695723440814446,0.0011176792433638487,0.014273767638265045
extremePointsFronts,7000,EP,19,mutationRepairStrategy,0.0053544443577547935,0.0005587374110408592,0.010150151304468728
extremePointsFronts,7000,EP,20,sbxDistributionIndex,0.0007511572374989171,0.0,0.0015023144749978343
extremePointsFronts,7000,EP,21,linkedPolynomialMutationDistributionIndex,0.000682894400959191,0.0,0.001365788801918382
extremePointsFronts,7000,EP,22,fuzzyRecombinationCrossoverAlpha,0.00029334126652157,0.0,0.00058668253304314
extremePointsFronts,7000,EP,23,pcxCrossoverEta,3.519204619296693e-05,1.780525871693744e-05,5.257883366899642e-05
extremePointsFronts,7000,EP,24,pcxCrossoverZeta,2.8072306480543447e-05,1.3203503322086114e-05,4.294110963900078e-05
extremePointsFronts,7000,EP,25,undcCrossoverEta,5.559192352403778e-06,0.0,1.1118384704807557e-05
extremePointsFronts,7000,EP,26,undcCrossoverZeta,3.200941261819459e-06,0.0,6.401882523638918e-06
extremePointsFronts,7000,HVMinus,1,crossoverProbability,0.1658269715718869,0.30315967545096917,0.028494267692804616
extremePointsFronts,7000,HVMinus,2,linkedPolynomialMutationDistributionIndex,0.16479598800873083,0.0,0.32959197601746165
extremePointsFronts,7000,HVMinus,3,mutation,0.16473326932075996,0.0030424412428324108,0.3264240973986875
extremePointsFronts,7000,HVMinus,4,crossoverRepairStrategy,0.11589781895297382,0.22866524376372238,0.0031303941422252714
extremePointsFronts,7000,HVMinus,5,populationSizeWithArchive,0.0791481340806498,0.04348626627953337,0.11481000188176624
extremePointsFronts,7000,HVMinus,6,mutationProbabilityFactor,0.07360798469568133,0.12336984065228053,0.02384612873908214
extremePointsFronts,7000,HVMinus,7,crossover,0.05929997867954434,0.057871882507406214,0.060728074851682474
extremePointsFronts,7000,HVMinus,8,laplaceCrossoverScale,0.035693349689791085,0.06435790191716913,0.007028797462413041
extremePointsFronts,7000,HVMinus,9,sbxDistributionIndex,0.03337824457334134,0.0,0.06675648914668268
extremePointsFronts,7000,HVMinus,10,levyFlightMutationStepSize,0.022662687280680972,0.045272007000293595,5.336756106835124e-05
extremePointsFronts,7000,HVMinus,11,levyFlightMutationBeta,0.01437561982029771,0.028596512106897468,0.00015472753369794924
extremePointsFronts,7000,HVMinus,12,offspringPopulationSize,0.012319695196849991,0.018494463602680786,0.006144926791019197
extremePointsFronts,7000,HVMinus,13,createInitialSolutions,0.011973237921107632,0.019688819347399574,0.004257656494815692
