front_type,budget,indicator,consensus_rank,parameter_family,consensus_importance,RE3D_normalized_importance,RWA3D_normalized_importance
referenceFronts,7000,EP,1,populationSizeWithArchive,0.5523827732586488,0.49927176115624217,0.6054937853610555
referenceFronts,7000,EP,2,crossoverProbability,0.06684401017495446,0.051158757488313146,0.08252926286159579
referenceFronts,7000,EP,3,powerLawMutationDelta,0.060700148038806835,0.024349864775763456,0.09705043130185022
referenceFronts,7000,HVMinus,1,populationSizeWithArchive,0.34099203141644957,0.33849232840787624,0.3434917344250229
referenceFronts,7000,HVMinus,2,laplaceCrossoverScale,0.14458194282106152,0.2692561088412045,0.019907776800918514
referenceFronts,7000,HVMinus,3,powerLawMutationDelta,0.10477063459574676,0.019073955220809454,0.19046731397068406
estimatedReferenceFronts,7000,EP,1,uniformMutationPerturbation,0.24442350841099972,0.00025989682294181226,0.48858711999905763
estimatedReferenceFronts,7000,EP,2,mutationProbabilityFactor,0.16709393146404303,0.32074217041307745,0.013445692515008606
estimatedReferenceFronts,7000,EP,3,mutationRepairStrategy,0.13868973656184885,0.0033371566276349453,0.27404231649606275
estimatedReferenceFronts,7000,HVMinus,1,archiveType,0.31215382950083714,0.624224987604598,8.267139707630282e-05
estimatedReferenceFronts,7000,HVMinus,2,levyFlightMutationBeta,0.17719992371545049,0.0045438511580540054,0.34985599627284697
estimatedReferenceFronts,7000,HVMinus,3,crossoverProbability,0.14191570572885354,0.020333239556342163,0.26349817190136493
