front_type,budget,scheme,family,cluster_rank,cluster_id,cluster_size,cluster_share_pct,mean_distance_to_medoid,median_distance_to_medoid,medoid_run,medoid_solution_id,medoid_config_id,medoid_config_signature,medoid_EP,medoid_HV
referenceFronts,5000,gower_unweighted,RE3D,1,1,129,54.20168067226891,0.1604292185151851,0.15397124718709548,23,5,RE3D_run23_solution5,externalArchive|115.0|unboundedArchive|cauchy|20|crossoverAndMutationVariation|laplace|0.914114|bounds|nan|nan|nan|nan|0.481692|nan|nan|nan|nan|nan|levyFlight|0.600301|bounds|nan|nan|nan|nan|1.172944|0.574804|nan|ranking|nan|nan,0.0157618916567374,0.851540527748502
referenceFronts,5000,gower_unweighted,RE3D,2,2,65,27.310924369747898,0.1797739079963586,0.19968160969231544,22,8,RE3D_run22_solution8,externalArchive|32.0|unboundedArchive|sobol|5|crossoverAndMutationVariation|BLX-alpha-beta|0.868516|bounds|nan|nan|0.808656|0.809879|nan|nan|nan|nan|nan|nan|powerLaw|0.871901|bounds|nan|nan|nan|nan|nan|nan|9.875675|ranking|nan|nan,0.0167963084735243,0.851442040086148
referenceFronts,5000,gower_unweighted,RE3D,3,3,44,18.48739495798319,0.13544775570831677,0.11816317895404505,8,10,RE3D_run8_solution10,externalArchive|91.0|unboundedArchive|cauchy|10|crossoverAndMutationVariation|PCX|0.491965|bounds|nan|nan|nan|nan|nan|nan|0.861843|0.600943|nan|nan|powerLaw|0.456624|bounds|nan|nan|nan|nan|nan|nan|7.761629|random|nan|nan,0.0154820494167359,0.8506003291569615
referenceFronts,5000,gower_unweighted,RWA3D,1,1,287,63.63636363636363,0.13089686270655004,0.13057461671268702,15,12,RWA3D_run15_solution12,externalArchive|165.0|unboundedArchive|cauchy|50|crossoverAndMutationVariation|BLX-alpha-beta|0.305453|round|nan|nan|0.478584|0.840158|nan|nan|nan|nan|nan|nan|powerLaw|1.370121|round|nan|nan|nan|nan|nan|nan|7.362134|random|nan|nan,0.175036912597203,0.5854255464815281
referenceFronts,5000,gower_unweighted,RWA3D,2,3,145,32.150776053215075,0.12893074143245292,0.11331689491318017,7,4,RWA3D_run7_solution4,externalArchive|139.0|unboundedArchive|cauchy|50|crossoverAndMutationVariation|BLX-alpha|0.175897|bounds|nan|0.895825|nan|nan|nan|nan|nan|nan|nan|nan|powerLaw|1.713798|round|nan|nan|nan|nan|nan|nan|8.238609|random|nan|nan,0.1757348843535983,0.5855993322696832
referenceFronts,5000,gower_unweighted,RWA3D,3,2,19,4.212860310421286,0.11185937698307355,0.14331674628417226,13,1,RWA3D_run13_solution1,externalArchive|160.0|unboundedArchive|cauchy|10|crossoverAndMutationVariation|SBX|0.130144|random|285.559541|nan|nan|nan|nan|nan|nan|nan|nan|nan|levyFlight|1.816578|bounds|nan|nan|nan|nan|1.428426|0.753446|nan|random|nan|nan,0.1748865083932196,0.5849482621262524
referenceFronts,5000,gower_consensus_weighted,RE3D,1,1,142,59.66386554621849,0.22574065864902473,0.22285541697866879,23,5,RE3D_run23_solution5,externalArchive|115.0|unboundedArchive|cauchy|20|crossoverAndMutationVariation|laplace|0.914114|bounds|nan|nan|nan|nan|0.481692|nan|nan|nan|nan|nan|levyFlight|0.600301|bounds|nan|nan|nan|nan|1.172944|0.574804|nan|ranking|nan|nan,0.0157618916567374,0.851540527748502
referenceFronts,5000,gower_consensus_weighted,RE3D,2,3,57,23.949579831932773,0.2082964163077895,0.2072086626952191,6,4,RE3D_run6_solution4,externalArchive|31.0|unboundedArchive|sobol|10|crossoverAndMutationVariation|BLX-alpha|0.889826|bounds|nan|0.753442|nan|nan|nan|nan|nan|nan|nan|nan|powerLaw|0.719301|bounds|nan|nan|nan|nan|nan|nan|8.27127|ranking|nan|nan,0.0170231130339376,0.8514850813540839
referenceFronts,5000,gower_consensus_weighted,RE3D,3,2,39,16.386554621848738,0.18155183407440087,0.188229392790791,1,1,RE3D_run1_solution1,externalArchive|86.0|unboundedArchive|oppositionBased|100|crossoverAndMutationVariation|PCX|0.720902|bounds|nan|nan|nan|nan|nan|nan|0.870833|0.856007|nan|nan|powerLaw|0.868044|bounds|nan|nan|nan|nan|nan|nan|7.743517|random|nan|nan,0.0158125319370084,0.8512782283686829
referenceFronts,5000,gower_consensus_weighted,RWA3D,1,1,266,58.980044345898,0.15687571126687394,0.14735772428254545,21,3,RWA3D_run21_solution3,externalArchive|168.0|unboundedArchive|cauchy|10|crossoverAndMutationVariation|BLX-alpha-beta|0.198953|random|nan|nan|0.363805|0.569371|nan|nan|nan|nan|nan|nan|powerLaw|1.957782|bounds|nan|nan|nan|nan|nan|nan|7.676462|random|nan|nan,0.1753764113899409,0.5856203976539555
referenceFronts,5000,gower_consensus_weighted,RWA3D,2,2,94,20.84257206208426,0.16736344213425314,0.17746209240650507,27,6,RWA3D_run27_solution6,externalArchive|33.0|unboundedArchive|cauchy|50|crossoverAndMutationVariation|BLX-alpha-beta|0.287957|round|nan|nan|0.985926|0.901724|nan|nan|nan|nan|nan|nan|powerLaw|1.866631|round|nan|nan|nan|nan|nan|nan|8.814579|ranking|nan|nan,0.1772975127801717,0.585813837545673
referenceFronts,5000,gower_consensus_weighted,RWA3D,3,3,91,20.177383592017737,0.1711258908893215,0.1739363504498783,25,1,RWA3D_run25_solution1,externalArchive|104.0|unboundedArchive|cauchy|400|crossoverAndMutationVariation|BLX-alpha|0.144387|bounds|nan|0.923024|nan|nan|nan|nan|nan|nan|nan|nan|powerLaw|1.803183|round|nan|nan|nan|nan|nan|nan|8.744097|random|nan|nan,0.1766658080440746,0.5858198708312076
