family,front_type,budget,Evaluation,total_cost,pct_reference_hv
RE3D,referenceFronts,1000,100,100000,98.88887448215586
RE3D,extremePointsFronts,1000,200,200000,99.22106578426308
RE3D,referenceFronts,3000,100,300000,99.70478657302478
RE3D,extremePointsFronts,5000,100,500000,99.85593239594084
RE3D,referenceFronts,7000,100,700000,99.8781130927727
RE3D,referenceFronts,5000,200,1000000,99.88920673150191
RE3D,extremePointsFronts,7000,200,1400000,99.9197257890656
RE3D,referenceFronts,5000,400,2000000,99.93574310191644
RE3D,extremePointsFronts,7000,300,2100000,99.94146454187062
RE3D,referenceFronts,5000,500,2500000,99.94657551806819
RE3D,extremePointsFronts,7000,400,2800000,99.96141597050213
RE3D,extremePointsFronts,7000,500,3500000,99.97056130684363
RE3D,referenceFronts,7000,600,4200000,99.9777352503041
RE3D,referenceFronts,7000,700,4900000,99.98193054926068
RE3D,extremePointsFronts,7000,800,5600000,99.98478200607278
RE3D,extremePointsFronts,7000,900,6300000,99.98918194766978
RE3D,extremePointsFronts,7000,1000,7000000,99.99155167154053
RE3D,extremePointsFronts,7000,1100,7700000,99.99273560704006
RE3D,extremePointsFronts,7000,1200,8400000,99.99365304680735
RE3D,extremePointsFronts,7000,1300,9100000,99.99578164972087
RE3D,extremePointsFronts,7000,1400,9800000,99.9967751082303
RE3D,extremePointsFronts,7000,1500,10500000,99.99735826530828
RE3D,extremePointsFronts,7000,1600,11200000,99.99803245707976
RE3D,extremePointsFronts,7000,1700,11900000,99.99845019362911
RE3D,extremePointsFronts,7000,1800,12600000,99.99853073027
RE3D,extremePointsFronts,7000,1900,13300000,99.9985539827113
RE3D,extremePointsFronts,7000,2000,14000000,99.99889313720557
RE3D,extremePointsFronts,7000,2200,15400000,99.99962394086464
RE3D,extremePointsFronts,7000,2300,16100000,99.99996455756119
RE3D,extremePointsFronts,7000,2500,17500000,100.00015291812194
RE3D,extremePointsFronts,7000,2600,18200000,100.00043235134939
RE3D,extremePointsFronts,7000,2700,18900000,100.00054814265455
RE3D,extremePointsFronts,7000,3000,21000000,100.00055511897648
RWA3D,extremePointsFronts,1000,100,100000,99.2092246649497
RWA3D,referenceFronts,1000,200,200000,99.4497020793804
RWA3D,referenceFronts,3000,100,300000,99.69563019418212
RWA3D,referenceFronts,1000,500,500000,99.73282525055554
RWA3D,referenceFronts,3000,200,600000,99.82710791908526
RWA3D,referenceFronts,3000,300,900000,99.86394774704317
RWA3D,referenceFronts,3000,400,1200000,99.88229007461747
RWA3D,referenceFronts,3000,500,1500000,99.91670585961892
RWA3D,referenceFronts,3000,600,1800000,99.93096349765304
RWA3D,referenceFronts,3000,700,2100000,99.93494054060777
RWA3D,referenceFronts,3000,800,2400000,99.94432927837765
RWA3D,referenceFronts,3000,900,2700000,99.9534598099277
RWA3D,referenceFronts,3000,1000,3000000,99.95663111181753
RWA3D,referenceFronts,3000,1100,3300000,99.96115261024194
RWA3D,referenceFronts,3000,1200,3600000,99.96172324335386
RWA3D,referenceFronts,3000,1300,3900000,99.96477899326186
RWA3D,referenceFronts,3000,1400,4200000,99.96897382091036
RWA3D,extremePointsFronts,3000,1500,4500000,99.97274650054727
RWA3D,extremePointsFronts,3000,1600,4800000,99.97438659833415
RWA3D,extremePointsFronts,3000,1700,5100000,99.97537080731362
RWA3D,extremePointsFronts,3000,1800,5400000,99.97581452891848
RWA3D,extremePointsFronts,5000,1100,5500000,99.97587289759002
RWA3D,extremePointsFronts,3000,1900,5700000,99.9759239954315
RWA3D,extremePointsFronts,5000,1200,6000000,99.97722931580427
RWA3D,extremePointsFronts,3000,2100,6300000,99.97771400041538
RWA3D,extremePointsFronts,5000,1300,6500000,99.97928129480881
RWA3D,extremePointsFronts,3000,2200,6600000,99.97946706826292
RWA3D,extremePointsFronts,3000,2300,6900000,99.98024893475893
RWA3D,extremePointsFronts,5000,1400,7000000,99.98139640950045
RWA3D,extremePointsFronts,5000,1500,7500000,99.98245906812025
RWA3D,extremePointsFronts,3000,2600,7800000,99.98286198878401
RWA3D,extremePointsFronts,5000,1600,8000000,99.98350625680526
RWA3D,extremePointsFronts,7000,1200,8400000,99.98469034386987
RWA3D,extremePointsFronts,5000,1700,8500000,99.98824758653873
RWA3D,extremePointsFronts,5000,1800,9000000,99.98837656752266
RWA3D,extremePointsFronts,5000,1900,9500000,99.98927159576897
RWA3D,extremePointsFronts,7000,1400,9800000,99.98951830875156
RWA3D,extremePointsFronts,5000,2100,10500000,99.9912729973903
RWA3D,extremePointsFronts,5000,2200,11000000,99.9919541582938
RWA3D,extremePointsFronts,7000,1600,11200000,99.99447942477963
RWA3D,extremePointsFronts,7000,1700,11900000,99.99514366673105
RWA3D,extremePointsFronts,7000,1800,12600000,99.99656235759524
RWA3D,extremePointsFronts,7000,2000,14000000,99.99708207252262
RWA3D,extremePointsFronts,7000,2100,14700000,99.99730478023994
RWA3D,extremePointsFronts,7000,2200,15400000,99.99981148286405
RWA3D,extremePointsFronts,7000,2300,16100000,100.00143966498266
RWA3D,extremePointsFronts,7000,2400,16800000,100.00252294790202
RWA3D,extremePointsFronts,7000,3000,21000000,100.00300349701538
