family,front_type,budget,parameter,parameter_kind,action,supported_views,recommendation_reason,recommended_value,recommended_min,recommended_max
RE3D,extremePointsFronts,5000,algorithmResult,categorical,fix,EP|HV|joint,dominant_category_repeats,externalArchive,,
RE3D,extremePointsFronts,5000,archiveType,categorical,fix,EP|HV|joint,dominant_category_repeats,unboundedArchive,,
RE3D,extremePointsFronts,5000,crossover,categorical,fix,EP|HV|joint,dominant_category_repeats,laplace,,
RE3D,extremePointsFronts,5000,crossoverRepairStrategy,categorical,fix,EP|HV|joint,dominant_category_repeats,bounds,,
RE3D,extremePointsFronts,5000,mutation,categorical,fix,EP|HV|joint,dominant_category_repeats,levyFlight,,
RE3D,extremePointsFronts,5000,mutationRepairStrategy,categorical,fix,EP|HV|joint,dominant_category_repeats,bounds,,
RE3D,extremePointsFronts,5000,variation,categorical,fix,EP|HV|joint,dominant_category_repeats,crossoverAndMutationVariation,,
RE3D,extremePointsFronts,5000,blxAlphaBetaCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,5000,blxAlphaBetaCrossoverBeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,5000,blxAlphaCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,5000,boltzmannTemperature,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,5000,createInitialSolutions,categorical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,5000,crossoverProbability,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,5000,fuzzyRecombinationCrossoverAlpha,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,5000,levyFlightMutationBeta,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,5000,levyFlightMutationStepSize,numerical,keep_open,,insufficient_consistency,,,
RE3D,extremePointsFronts,5000,linkedPolynomialMutationDistributionIndex,numerical,keep_open,,insufficient_consistency,,,
